trading_ID,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
82819,2023-08-10,167.66,192500,169.55,169.72,167.21,9
82821,2023-08-11,167.28,146700,167.37,167.64,166.65,9
82823,2023-08-14,166.7,232500,165.59,167.1,165.19,9
82825,2023-08-15,165.39,197400,165.93,165.93,164.88,9
82827,2023-08-16,162.24,330700,162.74,163.92,162,9
82829,2023-08-17,162.28,240600,163.56,164.01,162.17,9
82831,2023-08-18,161.87,273900,160.84,162.2,160.38,9
82833,2023-08-21,162.79,197000,162.16,163.21,162,9
82835,2023-08-22,164.99,157700,165.84,166.44,164.9,9
82837,2023-08-23,165.91,189700,165.43,166.08,165.11,9
82839,2023-08-24,162.78,243400,164.52,165.03,162.78,9
82841,2023-08-25,164.46,112000,164.27,165.11,163.44,9
82843,2023-08-28,167.25,174800,166.34,167.36,166.22,9
82845,2023-08-29,167.39,165000,165.56,167.59,165.45,9
82847,2023-08-30,168.05,180200,168.09,168.78,167.6,9
82849,2023-08-31,172.13,558600,171.95,172.5,171.63,9
82851,2023-09-01,172.54,169900,173.91,173.91,171.92,9
82853,2023-09-05,175.37,311600,175.05,175.84,174.63,9
82855,2023-09-06,178.83,375600,179.71,179.88,178.13,9
82857,2023-09-07,178.87,260700,178.35,179.19,177.8,9
82859,2023-09-08,177.13,158900,176.42,177.53,176.42,9
82861,2023-09-11,178.67,235900,177.93,179.12,177.72,9
82863,2023-09-12,181.28,266900,180.23,181.86,180,9
82865,2023-09-13,183.98,264300,183.76,184.35,183.38,9
82867,2023-09-14,187.98,360500,186.5,188.05,186.25,9
82869,2023-09-15,189.2,393600,190.67,190.86,188.95,9
82871,2023-09-18,188.96,211200,188.66,189.05,187.75,9
82873,2023-09-19,195.04,468300,194.46,195.65,194.11,9
82875,2023-09-20,188.75,477800,190.15,192.52,188.51,9
82877,2023-09-21,186.3,328100,187.19,187.32,185.85,9
82879,2023-09-22,187.1,396400,188.44,189.15,186.95,9
82881,2023-09-25,184.84,348500,185,185.27,183.77,9
82883,2023-09-26,180.5,451900,181.21,182.7,180.11,9
82885,2023-09-27,182.39,398600,183.26,184.42,181.17,9
82887,2023-09-28,182.42,278100,180.53,182.87,179.83,9
82889,2023-09-29,179.75,222200,180.53,181.15,179.26,9
82891,2023-10-02,178.46,236100,179.3,179.6,177.59,9
82893,2023-10-03,173.65,447400,173.32,174.43,172.82,9
82895,2023-10-04,169.45,861700,167.17,170.19,166.92,9
82897,2023-10-05,173.04,485900,173.82,174.36,172.16,9
82899,2023-10-06,173.18,366200,172.65,173.7,169.91,9
82901,2023-10-09,174.12,138200,172.5,174.17,171.97,9
82903,2023-10-10,177.15,240400,176.5,177.51,176,9
82905,2023-10-11,178.03,146700,178.38,178.57,177,9
82907,2023-10-12,181.6,344000,182.58,182.96,180.48,9
82909,2023-10-13,177.68,273400,179.13,179.47,177.07,9
82911,2023-10-16,179.1,197700,178.19,179.62,178.19,9
82913,2023-10-17,178.22,561400,177.81,179.68,177.63,9
82915,2023-10-18,175.98,252100,177.15,177.75,175.65,9
82917,2023-10-19,174.7,313000,176.62,176.88,174.44,9
82919,2023-10-20,173.48,196600,174.53,174.8,173.23,9
82921,2023-10-23,173.81,182000,173.05,175.05,172.48,9
82923,2023-10-24,174.12,185200,173.22,174.5,173.21,9
82925,2023-10-25,175.18,237900,176.24,176.88,175.04,9
82927,2023-10-26,171.61,214900,172.96,173.56,171.37,9
82929,2023-10-27,172.81,283200,175.35,175.49,172.27,9
82931,2023-10-30,171.4,251900,172.27,172.93,170.49,9
82933,2023-10-31,175.18,334400,174.04,175.22,173.6,9
82935,2023-11-01,185.78,711100,180.9,186.35,180.63,9
82937,2023-11-02,186.55,418900,184.96,186.72,183.37,9
82939,2023-11-03,189.59,310600,187.55,189.87,187.55,9
82941,2023-11-06,189.65,223600,190.23,190.56,189.04,9
