trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
40217,2023-06-27,287.05,26108300,282.01,289.35,280.65,5
40219,2023-06-28,285.29,16722100,284.82,289.55,284.06,5
40221,2023-06-29,281.53,15395700,284.50,286.57,280.69,5
40223,2023-06-30,286.98,19676000,284.76,289.05,284.42,5
40225,2023-07-03,286.02,8629300,286.70,289.40,284.85,5
40227,2023-07-05,294.37,33865500,287.65,298.12,286.36,5
40229,2023-07-06,291.99,47600500,295.89,298.12,291.31,5
40231,2023-07-07,290.53,25546200,292.18,296.20,288.66,5
40233,2023-07-10,294.10,37058300,295.55,298.13,287.05,5
40235,2023-07-11,298.29,27585900,293.90,300.18,291.90,5
40237,2023-07-12,309.34,36677100,301.75,309.45,300.10,5
40239,2023-07-13,313.41,30281000,313.62,316.24,310.29,5
40241,2023-07-14,308.87,22576000,311.79,314.88,307.36,5
40243,2023-07-17,310.62,25323100,307.54,311.71,304.71,5
40245,2023-07-18,312.05,20764600,310.88,314.20,307.62,5
40247,2023-07-19,316.01,21763700,313.03,318.68,310.52,5
40249,2023-07-20,302.52,23836900,313.50,315.54,302.22,5
40251,2023-07-21,294.26,42089700,304.57,305.46,291.20,5
40253,2023-07-24,291.61,24915700,295.78,297.52,288.30,5
40255,2023-07-25,294.47,19585600,295.19,298.30,291.86,5
40257,2023-07-26,298.57,47256900,301.19,301.77,291.90,5
40259,2023-07-27,311.71,64229200,325.12,325.35,309.84,5
40261,2023-07-28,325.48,39220300,316.88,326.20,314.25,5
40263,2023-07-31,318.60,25799600,323.69,325.66,317.59,5
40265,2023-08-01,322.71,22817900,317.54,324.14,314.66,5
40267,2023-08-02,314.31,20461100,318.00,318.39,310.65,5
40269,2023-08-03,313.19,15180200,309.93,315.95,309.93,5
40271,2023-08-04,310.73,17600200,314.96,318.41,310.20,5
40273,2023-08-07,316.56,16236500,313.23,317.07,310.46,5
40275,2023-08-08,312.64,15183500,314.40,317.89,310.11,5
40277,2023-08-09,305.21,19955800,312.88,313.63,302.85,5
40279,2023-08-10,305.74,14358900,307.94,312.34,303.87,5
40281,2023-08-11,301.64,13967800,302.57,304.72,300.36,5
40283,2023-08-14,306.19,15641900,300.98,306.21,298.25,5
40285,2023-08-15,301.95,11623600,306.14,307.23,300.03,5
40287,2023-08-16,294.29,18547700,300.20,301.08,294.28,5
40289,2023-08-17,285.09,23950100,293.05,296.05,284.95,5
40291,2023-08-18,283.25,34061200,279.03,285.69,274.38,5
40293,2023-08-21,289.90,20181500,283.45,290.50,281.85,5
40295,2023-08-22,287.60,12999900,292.55,292.90,286.75,5
40297,2023-08-23,294.24,18287000,288.50,297.40,287.67,5
40299,2023-08-24,286.75,18360900,298.50,299.46,286.64,5
40301,2023-08-25,285.50,23701400,286.13,288.39,276.03,5
40303,2023-08-28,290.26,14239300,288.00,291.45,285.80,5
40305,2023-08-29,297.99,20844500,288.58,299.15,288.18,5
40307,2023-08-30,295.10,17717000,297.17,298.29,293.43,5
40309,2023-08-31,295.89,17229900,295.80,301.10,295.66,5
40311,2023-09-01,296.38,12819800,299.37,301.74,294.47,5
40313,2023-09-05,300.15,14956000,297.02,301.39,295.51,5
40315,2023-09-06,299.17,15418100,301.71,303.30,295.66,5
40317,2023-09-07,298.67,33748700,298.00,307.05,292.22,5
40319,2023-09-08,297.89,17548000,299.22,305.25,296.78,5
40321,2023-09-11,307.56,19489300,301.41,309.04,301.28,5
40323,2023-09-12,301.66,13480400,306.33,308.66,300.23,5
40325,2023-09-13,305.06,13210900,302.36,307.18,301.32,5
40327,2023-09-14,311.72,19343100,306.74,312.87,305.03,5
40329,2023-09-15,300.31,28106400,311.61,312.00,298.75,5
40331,2023-09-18,302.55,14234200,298.19,303.60,297.80,5
40333,2023-09-19,305.07,15924400,302.48,306.17,299.81,5
40335,2023-09-20,299.67,19379500,305.05,308.06,299.43,5
40337,2023-09-21,295.73,21300500,295.70,300.26,293.27,5
40339,2023-09-22,299.08,25369600,299.30,305.38,298.27,5
40341,2023-09-25,300.83,18987000,295.64,300.95,293.70,5
40343,2023-09-26,298.96,19417200,297.66,300.30,296.01,5
40345,2023-09-27,297.74,36429800,300.45,301.30,286.79,5
40347,2023-09-28,303.96,22167100,298.94,306.33,296.70,5
40349,2023-09-29,300.21,25356600,307.38,310.64,299.36,5
40351,2023-10-02,306.82,16265600,302.74,307.18,301.63,5
40353,2023-10-03,300.94,17362300,304.26,306.77,299.64,5
40355,2023-10-04,305.58,16880500,298.73,306.90,298.50,5
40357,2023-10-05,304.79,19130000,304.63,306.21,299.50,5
40359,2023-10-06,315.43,21784000,301.44,316.31,300.91,5
40361,2023-10-09,318.36,22503700,312.50,320.33,311.82,5
40363,2023-10-10,321.84,19038000,319.12,324.66,318.16,5
40365,2023-10-11,327.82,22036300,323.01,328.84,322.95,5
40367,2023-10-12,324.16,20530500,328.00,330.54,322.69,5
40369,2023-10-13,314.69,21341000,323.53,325.05,312.37,5
40371,2023-10-16,321.15,16536100,318.64,321.82,315.52,5
40373,2023-10-17,324.00,16387800,318.18,324.40,317.30,5
40375,2023-10-18,316.97,16851000,321.39,325.94,315.56,5
40377,2023-10-19,312.81,18709200,319.88,321.89,311.75,5
40379,2023-10-20,308.65,22287400,314.14,315.30,306.47,5
40381,2023-10-23,314.01,17796800,309.50,317.36,307.26,5
40383,2023-10-24,312.55,19525500,316.78,318.35,310.63,5
40385,2023-10-25,299.53,42192500,310.00,310.88,298.84,5
40387,2023-10-26,288.35,66684100,295.00,295.00,279.40,5
40389,2023-10-27,296.73,29596300,294.48,299.31,292.97,5
40391,2023-10-30,302.66,28435100,299.09,309.40,299.05,5
40393,2023-10-31,301.27,19434200,303.31,303.68,296.86,5
40395,2023-11-01,311.85,20434600,301.85,312.74,301.85,5
40397,2023-11-02,310.87,21631800,317.30,318.82,308.33,5
40399,2023-11-03,314.60,16754100,312.55,315.55,311.02,5
40401,2023-11-06,315.80,12887700,315.98,318.33,314.45,5
40403,2023-11-07,318.82,14055600,317.06,321.00,315.12,5
40405,2023-11-08,319.78,13609700,318.14,321.33,314.88,5
40407,2023-11-09,320.55,16103100,319.42,324.18,318.80,5
40409,2023-11-10,328.77,19096200,319.94,329.10,319.46,5
40411,2023-11-13,329.19,16908900,326.20,332.33,325.70,5
40413,2023-11-14,336.31,17179400,334.54,338.10,333.33,5
40415,2023-11-15,332.71,14531200,337.93,338.40,330.02,5
40417,2023-11-16,334.19,18932600,329.37,334.58,326.38,5
40419,2023-11-17,335.04,14494400,330.26,335.50,329.35,5
40421,2023-11-20,339.97,16960500,334.89,341.87,334.19,5
40423,2023-11-21,336.98,12027900,338.33,339.90,335.90,5
40425,2023-11-22,341.49,10702700,339.21,342.92,338.58,5
40427,2023-11-24,338.23,5467500,340.13,341.86,336.77,5
40429,2023-11-27,334.70,15684500,336.18,339.90,334.20,5
40431,2023-11-28,338.99,12637200,333.40,339.38,333.40,5
40433,2023-11-29,332.20,16024500,339.69,339.90,330.78,5
40435,2023-11-30,327.15,23146400,331.89,333.50,322.40,5
40437,2023-12-01,324.82,15264700,325.48,326.86,320.76,5
40439,2023-12-04,320.02,19037100,317.29,320.86,313.66,5
40441,2023-12-05,318.29,16952100,318.98,321.88,315.39,5
40443,2023-12-06,317.45,11294300,321.93,322.25,317.04,5
40445,2023-12-07,326.59,15905100,317.77,328.24,317.77,5
40447,2023-12-08,332.75,14077500,323.09,333.17,323.00,5
40449,2023-12-11,325.28,25802500,329.40,329.89,320.00,5
40451,2023-12-12,334.22,18485500,324.60,334.47,324.56,5
40453,2023-12-13,334.74,16353300,333.93,338.37,332.64,5
40455,2023-12-14,333.17,19607300,333.85,334.70,328.64,5
40457,2023-12-15,334.92,30001600,331.99,338.66,331.22,5
40459,2023-12-18,344.62,18993900,337.48,347.56,337.02,5
40461,2023-12-19,350.36,17729400,345.58,353.60,345.12,5
40463,2023-12-20,349.28,16369900,348.65,354.96,347.79,5
40465,2023-12-21,354.09,15289600,352.98,356.41,349.21,5
40467,2023-12-22,353.39,11764200,355.58,357.20,351.22,5
40469,2023-12-26,354.83,9898600,354.99,356.98,353.45,5
40471,2023-12-27,357.83,13207900,356.07,359.00,355.31,5
40473,2023-12-28,358.32,11798800,359.70,361.90,357.81,5
40475,2023-12-29,353.96,14980500,358.99,360.00,351.82,5
40477,2024-01-02,346.29,19042200,351.32,353.16,340.01,5
40479,2024-01-03,344.47,15451100,344.98,347.95,343.18,5
40481,2024-01-04,347.12,12099900,344.50,348.15,343.40,5
40483,2024-01-05,351.95,13920700,346.99,353.50,346.26,5
40485,2024-01-08,358.66,13890200,354.70,358.98,352.05,5
40487,2024-01-09,357.43,13463900,356.40,360.64,355.36,5
40489,2024-01-10,370.47,22117200,360.17,372.94,359.08,5
40491,2024-01-11,369.67,17205400,372.13,372.78,362.93,5
40493,2024-01-12,374.49,19295700,370.16,377.06,369.54,5
40495,2024-01-16,367.46,15306900,373.65,375.61,367.23,5
40497,2024-01-17,368.37,12724800,366.30,368.54,358.61,5
40499,2024-01-18,376.13,16354300,371.49,376.85,370.95,5
40501,2024-01-19,383.45,21470100,379.00,384.36,377.97,5
40503,2024-01-22,381.78,17680500,387.95,390.35,381.16,5
40505,2024-01-23,385.20,15506100,384.62,388.38,382.08,5
40507,2024-01-24,390.70,15698500,390.00,396.15,387.81,5
40509,2024-01-25,393.18,15091100,390.17,395.49,385.66,5
40511,2024-01-26,394.14,13163700,394.35,396.79,391.59,5
40513,2024-01-29,401.02,18742400,394.99,402.93,393.10,5
40515,2024-01-30,400.06,18614700,403.59,406.36,399.57,5
40517,2024-01-31,390.14,20180800,389.00,398.00,387.10,5
40519,2024-02-01,394.78,29727100,393.94,400.50,393.05,5
40521,2024-02-02,474.99,84615500,459.60,485.96,453.01,5
