trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
72351,2023-05-12,389.97,1027200,392.77,392.89,388.42,8
72353,2023-05-15,391.15,616400,389.87,391.61,386.92,8
72355,2023-05-16,396.04,860200,391.15,396.61,390.79,8
72357,2023-05-17,400.96,1124500,397.61,401.53,394.88,8
72359,2023-05-18,397.86,748600,400.50,400.50,393.94,8
72361,2023-05-19,397.67,848000,400.00,401.41,396.67,8
72363,2023-05-22,396.43,757300,398.30,399.46,392.75,8
72365,2023-05-23,393.14,716400,395.28,397.37,391.71,8
72367,2023-05-24,396.43,883800,394.84,397.40,392.19,8
72369,2023-05-25,395.39,674800,395.17,397.13,390.08,8
72371,2023-05-26,387.95,800000,394.38,397.59,387.53,8
72373,2023-05-30,384.27,944200,383.89,390.52,381.78,8
72375,2023-05-31,390.84,2427500,377.45,391.60,373.28,8
72377,2023-06-01,389.23,839600,392.30,393.86,388.04,8
72379,2023-06-02,390.16,745300,386.13,391.49,385.31,8
72381,2023-06-05,395.31,712400,391.25,395.58,391.25,8
72383,2023-06-06,388.96,581900,395.70,396.40,385.93,8
72385,2023-06-07,384.62,639600,387.90,388.68,383.87,8
72387,2023-06-08,389.22,985400,383.82,391.87,383.82,8
72389,2023-06-09,393.91,667900,388.18,395.70,387.28,8
72391,2023-06-12,395.27,835700,393.75,396.67,392.21,8
72393,2023-06-13,397.00,658900,394.36,400.73,392.97,8
72395,2023-06-14,391.25,690900,397.86,398.47,389.48,8
72397,2023-06-15,400.07,753600,393.40,400.52,392.48,8
72399,2023-06-16,406.20,1491100,399.62,407.79,399.62,8
72401,2023-06-20,410.33,737200,406.33,412.61,405.66,8
72403,2023-06-21,414.46,837800,411.53,417.75,410.73,8
72405,2023-06-22,417.21,630200,414.93,418.66,411.73,8
72407,2023-06-23,415.76,1008900,418.26,419.33,414.58,8
72409,2023-06-26,414.09,392000,415.87,416.07,412.19,8
72411,2023-06-27,414.73,497600,408.17,415.54,407.00,8
72413,2023-06-28,415.21,427000,414.58,416.26,411.92,8
72415,2023-06-29,420.88,702300,415.09,421.95,414.34,8
72417,2023-06-30,427.31,877600,421.55,429.75,421.55,8
72419,2023-07-03,420.80,402000,422.75,424.03,415.72,8
72421,2023-07-05,418.79,762100,421.69,421.94,415.52,8
72423,2023-07-06,415.91,789000,419.01,420.19,412.61,8
72425,2023-07-07,414.80,665900,414.83,418.18,413.43,8
72427,2023-07-10,414.76,555100,414.72,418.81,413.65,8
72429,2023-07-11,413.72,538500,414.04,417.08,411.33,8
72431,2023-07-12,408.77,875900,411.73,413.99,406.99,8
72433,2023-07-13,409.69,594100,411.35,412.04,409.45,8
72435,2023-07-14,409.50,589400,410.84,413.85,407.85,8
72437,2023-07-17,411.67,587800,409.85,412.87,408.07,8
72439,2023-07-18,410.64,423000,412.52,414.81,409.84,8
72441,2023-07-19,410.99,757300,408.79,411.56,403.48,8
72443,2023-07-20,418.77,569000,414.64,420.51,412.70,8
72445,2023-07-21,414.25,546600,418.80,419.82,414.03,8
72447,2023-07-24,413.18,415000,414.19,417.15,412.02,8
72449,2023-07-25,411.27,703400,410.97,412.40,409.21,8
72451,2023-07-26,403.79,1026400,409.21,411.54,403.26,8
72453,2023-07-27,405.51,1065900,403.00,408.15,400.63,8
72455,2023-07-28,402.89,806400,406.21,407.60,401.42,8
72457,2023-07-31,402.40,1122500,404.12,404.12,395.30,8
72459,2023-08-01,405.02,868200,402.50,406.90,401.55,8
72461,2023-08-02,413.07,1431700,406.92,414.45,405.33,8
72463,2023-08-03,435.12,2012700,422.60,435.50,422.14,8
72465,2023-08-04,421.77,1488700,434.27,437.74,421.59,8
72467,2023-08-07,422.23,686700,423.04,427.89,421.25,8
72469,2023-08-08,427.73,945900,424.89,432.63,423.93,8
72471,2023-08-09,428.34,617700,427.71,433.34,425.60,8
72473,2023-08-10,433.99,1008200,428.25,435.60,428.25,8
72475,2023-08-11,440.06,666600,435.84,441.00,434.62,8
72477,2023-08-14,438.00,829800,439.96,440.64,435.31,8
72479,2023-08-15,430.91,625100,439.03,439.53,430.67,8
72481,2023-08-16,429.62,634300,431.71,433.70,428.64,8
72483,2023-08-17,416.95,1179000,421.91,422.15,414.35,8
72485,2023-08-18,420.43,833300,415.62,422.04,413.53,8
72487,2023-08-21,425.85,863100,420.00,427.60,419.02,8
72489,2023-08-22,418.39,590200,424.84,426.65,417.90,8
72491,2023-08-23,421.29,594600,419.31,422.74,418.49,8
72493,2023-08-24,423.35,529100,421.08,425.68,421.08,8
72495,2023-08-25,423.30,578300,424.78,426.00,421.94,8
72497,2023-08-28,423.40,1082800,423.43,425.13,421.89,8
72499,2023-08-29,421.68,631400,423.81,424.55,419.99,8
72501,2023-08-30,421.60,606800,423.66,424.61,419.96,8
72503,2023-08-31,412.32,873100,420.69,423.22,412.25,8
72505,2023-09-01,412.34,543700,413.29,417.06,411.53,8
72507,2023-09-05,407.13,751600,411.49,411.49,404.72,8
72509,2023-09-06,411.25,818800,407.00,412.77,405.50,8
72511,2023-09-07,418.62,742500,414.59,421.81,412.64,8
72513,2023-09-08,420.78,869700,418.36,425.49,418.07,8
72515,2023-09-11,423.90,541900,420.74,426.83,420.05,8
72517,2023-09-12,422.10,515700,423.00,424.81,419.95,8
72519,2023-09-13,420.48,416400,423.21,426.01,420.00,8
72521,2023-09-14,419.60,453200,420.48,422.72,417.65,8
72523,2023-09-15,420.13,1132200,418.03,422.77,418.03,8
72525,2023-09-18,427.29,553600,422.15,428.00,422.15,8
72527,2023-09-19,432.07,677600,430.32,432.86,428.50,8
72529,2023-09-20,439.86,1037700,434.00,444.80,434.00,8
72531,2023-09-21,438.24,840300,439.83,442.22,437.88,8
72533,2023-09-22,438.66,961500,437.02,441.21,435.91,8
72535,2023-09-25,446.42,999000,439.66,446.95,439.60,8
72537,2023-09-26,443.03,816600,445.85,446.87,440.66,8
72539,2023-09-27,444.38,954200,443.05,446.39,439.90,8
72541,2023-09-28,442.04,694600,444.50,446.39,441.96,8
72543,2023-09-29,434.85,682100,440.41,441.97,434.57,8
72545,2023-10-02,437.42,492000,433.55,439.21,433.10,8
72547,2023-10-03,438.49,463900,435.89,440.47,435.89,8
72549,2023-10-04,442.03,665700,438.63,443.74,437.12,8
72551,2023-10-05,445.80,713200,444.92,448.05,444.11,8
