trading_id,trading date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
60228,2023-05-18,498.10,2298900,495.00,498.60,494.08,7
60231,2023-05-19,496.52,1634400,499.39,499.39,493.92,7
60234,2023-05-22,491.87,1943800,497.00,497.00,488.54,7
60237,2023-05-23,484.87,1800200,487.17,487.17,482.97,7
60240,2023-05-24,482.76,1600600,487.25,487.25,480.91,7
60243,2023-05-25,486.55,3421900,480.21,488.54,476.75,7
60246,2023-05-26,507.26,5302600,485.65,510.75,484.12,7
60249,2023-05-30,508.03,2544800,509.79,514.79,501.59,7
60252,2023-05-31,511.56,3320800,508.86,513.87,504.95,7
60255,2023-06-01,512.60,2407700,509.33,513.74,502.10,7
60258,2023-06-02,512.59,2283900,510.32,518.50,509.40,7
60261,2023-06-05,518.25,2023500,512.59,518.92,512.02,7
60264,2023-06-06,516.26,1410300,518.25,518.63,512.76,7
60267,2023-06-07,511.23,1784700,514.51,519.29,510.57,7
60270,2023-06-08,520.09,1530400,512.50,520.29,512.50,7
60273,2023-06-09,517.28,1287300,518.19,522.06,515.50,7
60276,2023-06-12,520.97,1404500,517.28,521.27,516.00,7
60279,2023-06-13,522.02,1204700,522.02,522.95,517.91,7
60282,2023-06-14,527.20,1841400,525.00,527.85,523.14,7
60285,2023-06-15,529.18,1871600,529.00,531.26,526.66,7
60288,2023-06-16,523.65,3147400,530.10,530.42,522.63,7
60291,2023-06-20,519.70,1684400,521.95,522.90,518.14,7
60294,2023-06-21,519.62,1273600,517.91,521.64,516.54,7
60297,2023-06-22,524.20,1114000,520.69,524.68,519.68,7
60300,2023-06-23,524.44,1433700,523.13,525.40,519.34,7
60303,2023-06-26,523.42,1278500,524.40,524.87,521.26,7
60306,2023-06-27,530.33,1673600,522.65,532.41,522.10,7
60309,2023-06-28,532.80,1245200,528.98,533.49,528.61,7
60312,2023-06-29,531.69,1121800,530.58,532.45,528.95,7
60315,2023-06-30,538.38,2221900,534.17,539.56,533.63,7
60318,2023-07-03,541.04,951400,537.25,541.08,534.34,7
60321,2023-07-05,541.13,1630400,541.22,546.05,537.50,7
60324,2023-07-06,537.37,1750100,538.88,540.30,536.58,7
60327,2023-07-07,525.05,2739500,533.89,536.46,524.63,7
60330,2023-07-10,527.01,1955600,525.06,531.15,525.06,7
60333,2023-07-11,529.64,1262300,527.50,530.76,526.15,7
60336,2023-07-12,538.00,1960500,532.00,540.11,531.11,7
60339,2023-07-13,538.45,1647200,537.80,539.12,532.79,7
60342,2023-07-14,546.70,1828400,538.71,546.86,538.10,7
60345,2023-07-17,552.96,1909900,546.18,554.21,546.10,7
60348,2023-07-18,553.59,1779200,552.67,555.00,549.39,7
60351,2023-07-19,554.11,1261100,554.48,555.89,552.02,7
60354,2023-07-20,556.96,1732800,553.81,561.07,553.71,7
60357,2023-07-21,557.86,5263900,559.17,562.05,557.45,7
60360,2023-07-24,563.93,2086400,558.00,566.57,555.88,7
60363,2023-07-25,565.19,1602500,566.77,567.55,564.30,7
60366,2023-07-26,566.17,1306400,565.51,568.03,563.42,7
60369,2023-07-27,561.83,1485300,567.72,571.16,560.60,7
60372,2023-07-28,563.32,1371400,564.58,567.81,562.62,7
60375,2023-07-31,560.67,1365900,563.00,564.29,559.05,7
60378,2023-08-01,555.47,1445300,560.63,562.88,554.54,7
60381,2023-08-02,552.35,1635000,552.26,556.63,551.02,7
60384,2023-08-03,557.69,1463400,553.53,560.35,552.22,7
60387,2023-08-04,552.04,1141500,561.07,561.29,551.41,7
60390,2023-08-07,558.41,1015400,554.99,559.56,554.99,7
60393,2023-08-08,556.12,1020400,558.00,558.90,551.84,7
60396,2023-08-09,559.70,1471800,557.98,562.09,556.81,7
60399,2023-08-10,561.49,1107200,563.20,569.21,560.70,7
60402,2023-08-11,562.96,1043100,560.35,565.00,559.03,7
60405,2023-08-14,561.47,1247600,564.77,567.71,560.44,7
60408,2023-08-15,558.51,1124300,561.05,565.16,558.20,7
60411,2023-08-16,559.05,1340100,561.70,564.95,558.72,7
60414,2023-08-17,547.11,1941900,559.47,560.42,545.08,7
60417,2023-08-18,544.94,1877800,546.92,549.47,543.11,7
60420,2023-08-21,543.21,2076100,543.86,545.15,536.30,7
60423,2023-08-22,538.37,1286000,541.96,541.96,537.50,7
60426,2023-08-23,540.86,1295800,538.96,541.17,536.24,7
60429,2023-08-24,531.71,1587500,539.29,541.00,530.82,7
60432,2023-08-25,534.01,1511500,532.91,535.79,530.56,7
60435,2023-08-28,536.19,945800,536.00,537.04,533.12,7
60438,2023-08-29,542.77,1468500,534.34,543.07,534.34,7
60441,2023-08-30,542.26,1292800,542.73,544.42,539.31,7
60444,2023-08-31,549.28,2086500,540.00,552.20,540.00,7
60447,2023-09-01,544.25,1437400,553.07,553.48,540.64,7
60450,2023-09-05,544.73,1714300,545.73,549.19,544.00,7
60453,2023-09-06,546.69,1476600,541.72,548.68,540.18,7
60456,2023-09-07,548.62,1340000,548.65,550.99,544.29,7
60459,2023-09-08,551.19,1075300,549.07,552.38,548.10,7
60462,2023-09-11,558.78,1388600,552.81,559.39,551.86,7
60465,2023-09-12,558.79,1055500,559.28,560.40,556.18,7
60468,2023-09-13,559.76,1162700,558.30,560.44,554.62,7
60471,2023-09-14,564.77,1257300,564.81,566.70,560.25,7
60474,2023-09-15,556.36,2944900,565.33,565.51,555.54,7
60477,2023-09-18,562.72,1003100,558.18,564.19,557.47,7
60480,2023-09-19,564.35,1144700,561.64,565.33,559.43,7
60483,2023-09-20,563.83,1311500,564.35,569.22,562.66,7
60486,2023-09-21,555.08,1687700,564.07,564.57,554.28,7
60489,2023-09-22,558.59,1527300,555.16,562.97,554.78,7
60492,2023-09-25,558.62,1313300,559.49,561.27,554.74,7
60495,2023-09-26,552.96,2425100,559.15,561.37,552.00,7
60498,2023-09-27,563.53,4591400,547.38,566.50,544.73,7
60501,2023-09-28,568.63,2192400,564.07,572.18,564.07,7
60504,2023-09-29,564.96,1886600,570.00,570.99,560.70,7
60507,2023-10-02,571.31,1831700,567.91,571.74,564.00,7
60510,2023-10-03,565.04,2007400,571.10,576.19,563.01,7
60513,2023-10-04,571.80,1798800,569.49,572.61,563.76,7
60516,2023-10-05,569.52,1579700,572.17,574.75,564.36,7
60519,2023-10-06,557.53,4245900,566.09,566.95,542.63,7
60522,2023-10-09,558.97,1781500,555.00,559.75,549.78,7
60525,2023-10-10,562.09,2176800,559.92,566.95,557.24,7
60528,2023-10-11,565.52,1449800,564.85,566.50,560.20,7
60531,2023-10-12,563.78,1458000,568.05,569.14,562.38,7
60534,2023-10-13,566.84,1243900,563.85,567.44,561.98,7
60537,2023-10-16,572.24,1428300,569.69,574.10,568.52,7
60540,2023-10-17,574.34,1404600,571.94,576.06,570.71,7
60543,2023-10-18,574.64,1311900,573.92,577.30,572.00,7
60546,2023-10-19,565.63,2019600,573.70,575.85,564.11,7
60549,2023-10-20,552.93,2294500,566.54,566.67,552.01,7
60552,2023-10-23,552.29,1776500,554.14,556.92,546.63,7
60555,2023-10-24,551.84,1678600,552.10,555.99,549.33,7
60558,2023-10-25,549.99,1757500,548.55,553.83,545.61,7
60561,2023-10-26,547.60,1925300,549.65,554.66,545.53,7
60564,2023-10-27,543.03,1503100,547.60,548.03,540.23,7
60567,2023-10-30,554.88,1696200,545.74,556.36,543.64,7
60570,2023-10-31,552.44,1394700,552.16,554.03,549.06,7
60573,2023-11-01,556.80,1735300,555.00,558.44,549.65,7
60576,2023-11-02,555.97,2100600,556.50,559.51,552.01,7
60579,2023-11-03,560.90,1826300,557.33,562.99,555.23,7
60582,2023-11-06,569.82,2056900,560.49,572.65,560.13,7
60585,2023-11-07,571.27,1373100,572.50,573.89,569.56,7
60588,2023-11-08,567.38,1343600,572.12,572.99,564.29,7
60591,2023-11-09,563.27,1288400,569.00,569.00,562.01,7
60594,2023-11-10,577.12,1908800,567.90,577.89,564.94,7
60597,2023-11-13,578.23,1650700,575.00,579.95,573.49,7
60600,2023-11-14,590.80,2037600,581.74,591.55,581.21,7
60603,2023-11-15,596.78,2165100,593.99,599.89,593.39,7
60606,2023-11-16,578.58,2954700,586.38,586.59,572.24,7
60609,2023-11-17,577.15,1773600,578.90,579.92,574.06,7
60612,2023-11-20,580.80,1624100,577.34,582.32,577.34,7
60615,2023-11-21,584.30,1173700,582.00,584.95,577.71,7
60618,2023-11-22,589.08,1068600,586.85,591.14,586.35,7
60621,2023-11-24,591.36,645800,591.02,594.20,590.41,7
60624,2023-11-27,594.90,1627400,592.52,599.94,592.41,7
60627,2023-11-28,594.00,1286800,593.19,597.42,591.42,7
60630,2023-11-29,587.86,1319800,595.20,595.21,587.42,7
60633,2023-11-30,592.74,1755200,587.83,593.07,582.83,7
60636,2023-12-01,596.25,1474700,593.28,596.35,590.59,7
60639,2023-12-04,599.08,1624000,592.15,599.53,591.46,7
60642,2023-12-05,605.35,2349700,598.53,608.88,597.03,7
60645,2023-12-06,607.43,2233900,605.50,608.48,603.86,7
60648,2023-12-07,610.95,1690400,610.00,612.35,606.35,7
60651,2023-12-08,610.78,1502100,608.60,613.61,607.73,7
60654,2023-12-11,623.86,2139300,621.97,625.03,618.76,7
60657,2023-12-12,629.50,2374400,627.44,629.69,623.21,7
60660,2023-12-13,642.00,2436900,633.92,642.60,631.00,7
60663,2023-12-14,630.78,3839200,641.18,641.90,630.30,7
60666,2023-12-15,658.82,8805200,641.50,661.88,640.50,7
60669,2023-12-18,681.24,5733400,664.50,681.91,661.10,7
60672,2023-12-19,677.74,3437300,675.00,680.80,669.12,7
60675,2023-12-20,661.00,3782700,671.79,674.35,660.80,7
60678,2023-12-21,665.16,2388400,665.86,667.34,659.45,7
60681,2023-12-22,671.60,1639500,668.00,673.27,666.00,7
60684,2023-12-26,674.62,1774800,673.01,675.86,670.78,7
60687,2023-12-27,666.80,1875900,662.70,668.58,660.40,7
60690,2023-12-28,663.10,1496900,665.85,666.86,661.59,7
60693,2023-12-29,660.08,1947000,661.00,663.19,657.16,7
60696,2024-01-02,650.65,2657700,655.58,657.80,649.50,7
60699,2024-01-03,644.69,2612600,651.21,655.45,643.10,7
60702,2024-01-04,648.35,2171100,642.08,649.90,640.51,7
60705,2024-01-05,656.01,2232100,656.18,659.65,652.24,7
60708,2024-01-08,661.69,2245300,655.81,662.08,654.03,7
60711,2024-01-09,667.18,1886200,658.88,667.29,658.26,7
60714,2024-01-10,672.76,1801900,669.56,673.83,669.01,7
60717,2024-01-11,673.58,1670800,671.00,674.51,667.64,7
60720,2024-01-12,683.24,2387600,677.50,683.72,676.11,7
60723,2024-01-16,681.49,1626700,683.24,686.52,678.16,7
60726,2024-01-17,684.19,1786800,680.50,684.87,679.19,7
60729,2024-01-18,687.31,1900600,682.83,687.72,680.21,7
60732,2024-01-19,694.97,2261000,688.50,696.13,682.67,7
60735,2024-01-22,692.51,2452900,695.43,698.66,690.52,7
60738,2024-01-23,687.59,2208600,690.72,691.63,684.63,7
60741,2024-01-24,686.51,1946500,689.00,689.97,683.12,7
60744,2024-01-25,679.90,2751900,686.50,686.50,675.96,7
60747,2024-01-26,686.88,1825500,680.08,687.24,679.50,7
60750,2024-01-29,694.01,2215400,689.90,694.13,686.26,7
60753,2024-01-30,700.74,1610500,692.94,702.65,690.80,7
60756,2024-01-31,694.88,1928500,701.32,705.52,693.04,7
60759,2024-02-01,704.48,2039200,694.00,705.30,691.50,7
60762,2024-02-02,709.48,2377400,703.34,714.28,702.26,7
